win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,103,3,54,160,42,2,29,73
2,119,4,59,182,43,4,25,72
3,122,3,66,191,57,3,38,98
4,120,6,93,219,52,3,49,104
5,142,3,102,247,80,3,54,137
6,175,5,126,306,88,3,45,136
7,176,6,106,288,107,6,46,159
8,176,10,183,369,111,6,81,198
9,222,11,135,368,156,8,79,243
10,254,13,160,427,193,11,87,291
11,310,15,175,500,233,10,115,358
12,343,13,235,591,239,11,148,398
13,507,15,265,787,351,14,169,534
14,636,23,289,948,462,19,192,673
15,768,25,358,1151,562,15,250,827
16,1052,42,457,1551,695,31,292,1018
17,1551,52,728,2331,999,34,465,1498
18,1754,74,857,2685,1159,50,581,1790
19,2274,97,1193,3564,1482,61,756,2299
20,2677,111,1348,4136,1809,67,873,2749
21,3956,196,2203,6355,2599,110,1380,4089
22,4497,258,2653,7408,3155,174,1789,5118
23,6560,419,4591,11570,4475,271,3085,7831
24,7931,633,6537,15101,5723,448,4447,10618
25,10202,835,7875,18912,6879,538,4928,12345
26,10646,871,8783,20300,7529,611,5536,13676
27,10508,996,8347,19851,7697,689,5750,14136
28,11902,1214,10082,23198,8492,838,6852,16182
29,14058,1194,11331,26583,9386,816,7075,17277
30,13634,1262,11187,26083,9303,842,7270,17415
31,13683,1258,11280,26221,9498,872,7452,17822
32,14736,1461,13220,29417,10122,1027,8568,19717
33,16144,1578,13090,30812,10274,1030,8094,19398
34,14842,1381,11593,27816,9268,901,7312,17481
35,13231,1240,10717,25188,8762,801,6892,16455
36,13777,1344,12251,27372,9143,873,7819,17835
37,14839,1512,13474,29825,9742,961,8418,19121
38,12964,1364,12304,26632,8355,847,7424,16626
39,12524,1351,11759,25634,7945,827,6865,15637
40,12400,1452,12250,26102,7980,884,7087,15951
41,12360,1387,12268,26015,7939,853,7238,16030
42,11691,1302,12238,25231,7443,806,7103,15352
43,11205,1363,13242,25810,7052,819,7369,15240
44,12150,1507,15368,29025,7422,928,8921,17271
45,12250,1456,16175,29881,7416,847,9315,17578
46,9991,1267,14046,25304,6052,670,7730,14452
