win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,7,0,0,7,7,0,0,7
2,7,0,0,7,7,0,0,7
3,12,0,3,15,10,0,3,13
4,11,0,5,16,11,0,4,15
5,13,0,3,16,10,0,3,13
6,24,0,3,27,9,0,2,11
7,23,0,6,29,9,0,3,12
8,96,0,26,122,47,0,12,59
9,81,1,31,113,42,1,19,62
10,75,0,31,106,46,0,24,70
11,114,0,42,156,73,0,32,105
12,116,1,47,164,78,1,35,114
13,147,3,65,215,97,3,47,147
14,205,7,73,285,138,6,57,201
15,223,3,92,318,164,2,76,242
16,255,3,111,369,185,2,81,268
17,342,6,147,495,253,5,120,378
18,401,8,184,593,335,7,148,490
19,505,11,262,778,415,8,196,619
20,609,16,315,940,498,15,240,753
21,841,17,455,1313,669,14,320,1003
22,1107,25,561,1693,822,18,394,1234
23,1638,42,770,2450,1104,28,536,1668
24,1950,30,969,2949,1353,22,658,2033
25,2493,54,1254,3801,1734,39,844,2617
26,3037,74,1510,4621,2048,47,976,3071
27,3591,90,1841,5522,2378,57,1205,3640
28,4143,102,2312,6557,2815,66,1375,4256
29,5164,138,2912,8214,3352,82,1724,5158
30,5860,177,3241,9278,3733,105,1880,5718
31,6395,211,3684,10290,4195,128,2156,6479
32,7140,231,4012,11383,4610,157,2451,7218
33,8079,263,4449,12791,5157,158,2721,8036
34,7974,297,4420,12691,5155,172,2753,8080
35,8245,307,4771,13323,5281,201,2906,8388
36,8501,300,5021,13822,5470,185,3043,8698
37,9689,342,5726,15757,6140,217,3399,9756
38,9627,359,5895,15881,6063,211,3368,9642
39,9732,421,6183,16336,6058,238,3608,9904
40,10278,457,6748,17483,6307,269,3955,10531
41,10981,469,7452,18902,6773,257,4268,11298
42,11208,479,7934,19621,6840,275,4489,11604
43,11675,540,8715,20930,7034,286,4752,12072
44,12027,545,9649,22221,7166,315,5384,12865
45,12004,576,9523,22103,7131,321,5347,12799
46,10522,498,8438,19458,6529,289,4878,11696
