win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,312,10,303,625,207,8,167,382
2,381,14,351,746,270,8,224,502
3,501,14,415,930,311,9,261,581
4,592,19,441,1052,425,13,280,718
5,723,16,542,1281,510,10,358,878
6,809,23,636,1468,593,15,405,1013
7,947,29,693,1669,679,22,460,1161
8,1178,29,794,2001,871,21,547,1439
9,1620,39,1143,2802,1174,29,753,1956
10,1989,57,1227,3273,1438,41,816,2295
11,2585,77,1493,4155,1928,49,966,2943
12,3212,83,1803,5098,2377,66,1191,3634
13,4319,119,2316,6754,3105,76,1515,4696
14,5730,148,2992,8870,4182,111,1932,6225
15,6967,221,3592,10780,5033,156,2335,7524
16,8190,240,4302,12732,6019,179,2875,9073
17,11660,370,6365,18395,8513,260,4245,13018
18,13256,440,7626,21322,9801,326,5271,15398
19,16022,602,10194,26818,11895,415,6893,19203
20,16778,627,10383,27788,12421,431,7184,20036
21,22133,855,14330,37318,16201,610,9839,26650
22,24136,945,16142,41223,18089,699,11432,30220
23,31065,1428,28514,61007,19967,812,12806,33585
24,30121,1367,22040,53528,21975,960,15099,38034
25,35392,1708,25141,62241,25659,1208,17171,44038
26,37515,1940,27497,66952,27724,1393,19428,48545
27,39305,2131,28959,70395,29092,1525,20189,50806
28,43244,2503,33505,79252,32167,1799,23288,57254
29,49739,2872,37779,90390,36043,1973,25352,63368
30,53271,3317,41879,98467,38636,2281,27873,68790
31,53735,3442,42548,99725,39075,2377,28405,69857
32,59681,4096,48989,112766,43218,2822,33472,79512
33,62615,4115,49103,115833,43375,2633,31622,77630
34,57831,3698,44602,106131,40674,2381,29401,72456
35,54623,3672,42419,100714,38279,2344,27625,68248
36,57005,4005,47153,108163,39533,2515,30124,72172
37,62311,4768,53961,121040,41977,2783,32121,76881
38,56945,4079,47395,108419,38720,2444,29325,70489
39,55600,4209,47694,107503,36750,2449,28337,67536
40,56464,4348,50416,111228,37149,2610,29619,69378
41,57981,4856,53068,115905,37591,2760,30714,71065
42,55488,4625,52951,113064,36018,2668,30869,69555
43,53953,4802,56046,114801,34863,2675,32090,69628
44,60606,5775,70807,137188,36859,3061,37722,77642
45,56213,5445,66605,128263,35739,3182,38198,77119
46,44271,4193,52957,101421,29361,2603,32195,64159
