win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,548,14,894,1456,414,11,537,962
2,565,11,910,1486,438,10,556,1004
3,635,14,1035,1684,474,13,626,1113
4,796,18,1122,1936,600,15,690,1305
5,920,26,1199,2145,676,18,746,1440
6,1017,34,1311,2362,757,21,847,1625
7,1100,34,1448,2582,845,25,919,1789
8,1224,34,1561,2819,946,23,1012,1981
9,1505,43,1681,3229,1158,34,1141,2333
10,1698,45,1805,3548,1313,37,1238,2588
11,1957,50,1926,3933,1517,35,1301,2853
12,2418,58,2139,4615,1889,44,1463,3396
13,3139,86,2638,5863,2373,60,1781,4214
14,3846,92,2983,6921,2957,70,2077,5104
15,4476,113,3387,7976,3415,88,2343,5846
16,5230,140,3917,9287,3992,106,2812,6910
17,6956,201,5329,12486,5203,150,3669,9022
18,7459,225,5556,13240,5722,165,3913,9800
19,9199,271,7149,16619,6963,201,5162,12326
20,9097,286,7288,16671,6971,210,5314,12495
21,11518,418,9344,21280,8641,295,6583,15519
22,12334,391,10103,22828,9352,292,7188,16832
23,13392,443,11146,24981,10105,315,7998,18418
24,14553,547,12777,27877,10920,388,9163,20471
25,16362,650,14403,31415,12205,487,10383,23075
26,16728,690,15033,32451,12738,514,10970,24222
27,17079,647,15299,33025,12969,506,11250,24725
28,18369,791,17027,36187,14050,591,12537,27178
29,20322,848,18472,39642,15172,634,13272,29078
30,20824,954,19202,40980,15743,703,13940,30386
31,20414,955,18836,40205,15678,683,13846,30207
32,21989,1057,20954,44000,16654,742,15245,32641
33,22410,982,21180,44572,16618,641,14613,31872
34,20746,941,18413,40100,15518,645,13206,29369
35,19266,855,17023,37144,14382,581,12253,27216
36,19837,861,18340,39038,14725,569,12880,28174
37,20904,967,21028,42899,15192,623,13363,29178
38,18897,886,18151,37934,13894,591,12087,26572
39,17972,818,16394,35184,13114,543,11039,24696
40,17916,811,16750,35477,13150,540,11404,25094
41,17869,816,16997,35682,13093,551,11641,25285
42,16634,815,16162,33611,12278,557,11270,24105
43,15916,722,15567,32205,11783,502,11002,23287
44,16478,861,17404,34743,11853,603,12077,24533
45,15585,803,17136,33524,11403,552,12166,24121
46,12645,661,13740,27046,9394,465,9827,19686
