win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,556,6,305,867,314,3,218,535
2,576,8,318,902,341,4,220,565
3,630,12,349,991,350,4,247,601
4,671,14,361,1046,404,6,251,661
5,781,12,438,1231,452,6,301,759
6,772,12,447,1231,476,6,307,789
7,824,8,559,1391,547,2,373,922
8,868,8,566,1442,584,3,387,974
9,1100,14,672,1786,676,7,436,1119
10,1366,22,781,2169,729,12,431,1172
11,1349,29,789,2167,802,17,501,1320
12,1609,30,868,2507,891,15,519,1425
13,1892,42,989,2923,1156,19,630,1805
14,2186,44,1215,3445,1290,26,727,2043
15,2649,56,1279,3984,1564,27,822,2413
16,3034,58,1429,4521,1847,29,922,2798
17,3875,94,1885,5854,2323,52,1199,3574
18,4289,89,2091,6469,2640,58,1356,4054
19,5224,122,2730,8076,3149,73,1701,4923
20,5174,121,2658,7953,3106,73,1637,4816
21,6763,175,3596,10534,4048,97,2183,6328
22,7055,188,3840,11083,4348,116,2349,6813
23,8150,206,4817,13173,4870,113,2701,7684
24,9104,203,5299,14606,5589,108,3153,8850
25,10302,287,6023,16612,6305,152,3587,10044
26,10619,291,6146,17056,6799,168,3900,10867
27,11244,304,6473,18021,7427,189,4206,11822
28,12368,368,7125,19861,7962,226,4554,12742
29,13808,467,8016,22291,8919,283,5108,14310
30,14945,503,9034,24482,9663,299,5550,15512
31,15179,510,10695,26384,9881,298,5793,15972
32,16521,559,12934,30014,10629,342,6304,17275
33,18515,650,16545,35710,11268,368,6645,18281
34,17976,665,17544,36185,10824,378,6292,17494
35,17407,669,17664,35740,10560,361,6130,17051
36,17857,638,20082,38577,10718,391,6578,17687
37,19172,739,22813,42724,11241,402,7139,18782
38,17909,726,19931,38566,10681,401,6612,17694
39,17336,710,18887,36933,10294,397,6698,17389
40,17414,708,20049,38171,10159,396,6585,17140
41,17753,816,20971,39540,10285,420,7054,17759
42,17453,784,19170,37407,10200,402,6842,17444
43,16425,791,18613,35829,9412,386,6665,16463
44,17110,881,20166,38157,9717,400,7004,17121
45,16347,812,19112,36271,9269,388,7028,16685
46,13475,725,14536,28736,7935,345,6061,14341
