win,All_all,All_fem,JavaScript_all,JavaScript_fem,Python_all,Python_fem,Java_all,Java_fem,Go_all,Go_fem,Ruby_all,Ruby_fem,C++_all,C++_fem,TypeScript_all,TypeScript_fem,PHP_all,PHP_fem,C#_all,C#_fem,C_all,C_fem,HTML_all,HTML_fem,CSS_all,CSS_fem,Jupyter_all,Jupyter_fem,Shell_all,Shell_fem,Objective-C_all,Objective-C_fem
1,8356,486,216,10,997,36,1145,75,4,0,441,13,1434,126,3,0,714,17,163,9,2317,178,195,13,31,3,1,0,611,6,84,0
2,9238,511,277,15,1192,36,1248,84,4,0,610,14,1569,180,3,1,804,16,181,8,2409,135,194,9,34,4,0,0,613,8,100,1
3,10222,545,322,15,1387,49,1348,100,8,0,751,23,1652,122,3,1,929,16,195,10,2600,183,227,10,45,3,0,0,644,12,111,1
4,11341,534,400,21,1554,59,1526,84,7,0,915,30,1807,124,3,0,1100,24,224,8,2804,147,230,11,51,6,1,0,570,15,149,5
5,13368,683,523,17,1926,73,1831,95,6,0,1199,36,2005,153,4,0,1203,36,277,17,3153,222,280,13,59,3,1,0,727,12,174,6
6,14297,798,613,27,2056,73,2012,190,6,0,1362,50,2148,168,7,0,1400,38,311,12,3190,201,293,17,71,5,4,0,640,13,184,4
7,16378,1036,732,34,2403,94,2286,180,8,0,1507,58,2309,179,8,0,1586,137,349,12,3592,275,358,47,85,6,3,0,906,8,246,6
8,18069,951,946,32,2707,84,2584,185,46,0,1819,67,2491,213,9,0,1721,42,445,18,3774,260,366,20,109,10,5,0,787,8,260,12
9,20802,1040,1259,45,3090,97,2876,215,51,1,2122,74,2711,228,8,0,2233,57,517,20,4207,243,403,26,133,11,5,0,912,16,275,7
10,22176,1184,1509,64,3455,136,3162,213,58,0,2242,98,2855,231,8,0,2364,60,562,19,4145,288,446,34,153,13,6,0,890,22,321,6
11,25224,1416,1921,90,3952,186,3473,197,80,0,2709,118,3105,255,8,0,2773,70,686,23,4485,352,502,31,185,15,4,0,945,73,396,6
12,28590,1437,2414,103,4349,184,3970,237,94,1,3168,128,3446,252,7,0,3060,74,707,23,4844,331,599,39,215,15,7,0,1251,34,459,16
13,34241,1852,3205,150,5203,229,4867,299,128,7,3849,158,3836,291,12,0,3945,109,905,20,5399,446,685,57,292,15,9,1,1309,49,597,21
14,40108,2093,4209,178,5971,263,5476,313,176,8,4595,208,4261,326,13,0,4389,109,1068,31,6460,494,829,55,358,25,9,1,1529,50,765,32
15,44437,2640,5097,270,6706,321,6081,374,203,5,5169,257,4462,339,15,0,5007,134,1157,29,6674,712,919,63,434,26,13,2,1606,72,894,36
16,53532,2893,6401,307,7817,348,7394,549,272,3,6078,304,5360,351,21,1,6062,205,1324,39,8011,546,1117,79,577,46,20,2,2044,70,1034,43
17,66640,4415,8716,492,9709,484,9181,672,405,10,7669,476,6183,449,32,1,7411,293,1689,58,9589,1135,1424,108,804,59,26,2,2428,110,1374,66
18,74122,4847,10501,556,10733,542,10285,690,468,13,8343,497,6595,489,34,2,8209,317,1907,55,10138,1294,1599,131,968,78,32,2,2757,113,1553,68
19,86203,6340,13027,773,12083,717,11923,925,567,20,9495,654,7441,600,43,1,9700,429,2146,60,11421,1683,1893,145,1262,103,42,2,3237,142,1923,86
20,91482,6320,13605,765,12633,701,12837,843,683,31,9827,604,7792,556,54,3,10194,416,2418,67,11892,1846,2206,158,1550,117,49,5,3682,137,2060,71
21,109875,7921,17654,1118,15382,939,14995,1049,886,37,12018,840,8810,623,53,6,12309,595,2805,117,13231,1855,2748,211,2199,216,64,7,4217,206,2504,102
22,121099,9862,20220,1235,16545,1174,16503,1331,1066,40,12691,954,9724,723,97,7,13215,628,3089,139,14333,2675,3272,299,2836,284,87,11,4714,261,2707,101
23,132419,10515,22458,1547,17935,1360,17861,1357,1377,58,13728,1216,10428,772,113,5,14425,688,3369,145,14636,2062,3825,391,3983,494,94,8,5110,287,3077,125
24,147880,13199,25369,1848,19460,1460,20677,1860,1639,59,14458,1455,11626,962,143,9,15775,867,3748,173,15655,2815,4506,504,5239,736,113,15,5855,240,3617,196
25,166614,16212,29828,2419,21974,1889,23136,1955,2053,100,15868,1464,12190,861,214,7,18009,962,4365,212,16553,4026,5597,725,6233,969,157,40,6416,355,4021,228
26,176927,17306,32648,2679,23354,2119,23994,2037,2437,108,16008,2027,13231,1121,230,21,18875,1052,4795,278,16487,3359,6536,834,6936,1011,196,37,7009,338,4191,285
27,187803,18000,35085,3099,24143,2390,24346,2210,2887,156,15927,2005,13509,1053,222,22,19799,1019,5090,315,16413,2651,10744,1122,7458,1127,233,52,7684,445,4263,334
28,201870,21894,38587,3858,26120,2684,27814,2780,3253,199,16386,2246,14894,1193,210,18,20754,1227,5823,389,17473,3656,9218,1339,8235,1473,290,51,8327,458,4486,323
29,221783,23784,43188,4245,28254,2899,29914,2958,3916,251,17633,2401,15550,1380,246,19,22575,1319,6972,554,17743,3045,12434,2329,8960,1372,373,75,9242,571,4783,366
30,232636,25397,45892,4883,29430,3114,31311,3100,4233,284,17475,2437,15933,1456,314,28,23320,1360,7481,553,18146,2867,14706,2745,9008,1428,450,89,9906,617,5031,436
31,236289,26837,47771,5332,29953,3554,30391,2970,4722,348,17195,2912,15953,1408,431,44,23623,1499,7573,587,17749,2384,15483,3046,9300,1494,597,138,10463,677,5085,444
32,256539,32575,52559,6126,32423,3748,34253,3511,5255,370,17447,5187,17213,1589,665,59,25105,1672,8640,804,18215,2608,16979,3658,10306,1751,894,221,11186,697,5399,574
33,252703,33824,52341,6328,32385,3847,32526,3414,5723,493,17335,6315,16513,1472,791,80,25001,1516,8303,689,17641,2496,16297,3677,10121,1894,1077,328,11447,846,5202,429
34,236909,32317,48810,5469,31417,3564,29765,3296,5601,611,16205,7215,16037,1441,897,95,22604,1428,7717,559,16806,2201,15078,3172,9409,1694,960,214,10894,779,4709,579
35,229277,31990,46294,6692,30256,3468,27493,2760,5719,589,15522,7281,15416,1360,1144,126,21324,1238,7360,524,16352,2125,17322,3104,9028,1478,957,168,10835,811,4255,266
36,231594,32607,47812,7181,30815,3465,28864,2742,5750,570,15095,6770,15411,1424,1553,145,21807,1311,7872,592,16194,1808,14944,3755,9426,1679,1069,192,11000,740,3982,233
37,241429,39150,50064,9167,32511,4049,29923,3070,6222,585,15599,8441,15577,1557,2088,230,22307,1513,8564,709,16250,1891,15921,4515,9797,1942,1278,299,11595,924,3733,258
38,226713,38251,46606,7552,31556,3635,27526,2781,6091,558,14670,10667,15436,1776,2149,266,20580,1381,8019,597,15329,2001,14215,3850,8664,1776,1240,280,10967,897,3665,234
39,216172,42546,44085,9095,30183,3558,25552,2632,6360,747,13840,13453,15241,1701,2375,323,19290,1304,7407,491,14965,2251,13479,3790,8170,1791,1262,312,10719,905,3244,193
40,217109,42168,43955,8999,30715,3671,26005,2752,6512,727,13425,12659,15356,1628,2801,373,19264,1260,7564,615,14854,2021,13552,4235,8084,1868,1365,326,10420,817,3237,217
41,222085,45422,44456,10168,31961,3911,26569,3323,6722,745,13582,13319,16031,1832,3081,462,19678,1209,7715,641,14888,2087,13982,4461,8072,1651,1534,414,10895,989,2919,210
42,217683,46536,42797,9722,31074,4046,25151,2990,6793,754,13812,14847,15737,1800,3325,522,18232,1300,7410,698,14362,2241,16413,4093,7686,1592,1720,802,10453,926,2718,203
43,215545,45917,42686,10508,30928,3844,25090,2760,7026,862,15317,13732,15728,1768,3737,580,17323,1104,7334,747,14237,1899,13369,4303,7563,1705,1974,932,10534,987,2699,186
44,233169,45058,45269,10615,32390,4438,28267,3285,7280,874,16023,8923,16200,1896,4416,757,17540,1284,8189,871,14364,2053,18068,4861,8223,1804,3819,2188,10607,1019,2514,190
45,228654,44133,44517,9828,32039,4529,28160,3667,7202,865,17231,9229,15751,1895,4686,781,16897,1150,8380,915,13795,1866,15410,4562,8150,1835,3999,1815,10152,1027,2285,169
46,195236,36502,37180,7558,27593,3842,23540,2749,6433,802,14637,7845,13810,1591,4234,672,14168,950,7234,752,12310,1719,12462,3252,6775,1562,4447,2219,8495,831,1918,158
