win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,1148,27,1000,2175,782,13,609,1404
2,1282,28,1120,2430,906,16,698,1620
3,1509,33,1354,2896,1020,16,866,1902
4,1634,39,1400,3073,1142,23,944,2109
5,2055,48,1692,3795,1349,23,1097,2469
6,2155,52,1751,3958,1477,30,1126,2633
7,2498,57,1938,4493,1775,33,1235,3043
8,2766,63,2127,4956,2046,43,1384,3473
9,3243,72,2421,5736,2380,43,1573,3996
10,3638,97,2587,6322,2684,62,1674,4420
11,4150,123,2673,6946,3128,85,1759,4972
12,4624,130,2925,7679,3460,89,1953,5502
13,5727,153,3319,9199,4282,109,2200,6591
14,6642,188,3779,10609,4964,120,2571,7655
15,7374,214,4167,11755,5473,150,2795,8418
16,8393,242,4621,13256,6355,166,3079,9600
17,11003,342,6106,17451,8112,230,4058,12400
18,11962,387,6644,18993,8990,278,4490,13758
19,13645,509,8014,22168,10091,353,5378,15822
20,14009,501,7951,22461,10420,345,5443,16208
21,17614,664,10351,28629,12970,469,6925,20364
22,19145,849,11694,31688,13999,570,7895,22464
23,21100,939,13073,35112,15143,625,8799,24567
24,22412,1061,14754,38227,16428,723,10019,27170
25,25437,1313,16874,43624,18338,839,11239,30416
26,26802,1450,18200,46452,19543,989,12236,32768
27,27902,1603,18283,47788,20150,1039,12329,33518
28,29870,1738,19927,51535,21509,1194,13631,36334
29,32942,1985,22307,57234,23775,1362,15363,40500
30,34430,2138,23795,60363,24675,1485,16421,42581
31,34834,2307,24076,61217,25071,1571,16322,42964
32,37979,2518,27544,68041,27337,1744,18532,47613
33,39795,2611,28181,70587,27601,1679,18480,47760
34,37753,2501,26609,66863,26579,1655,17504,45738
35,37430,2351,26559,66340,25421,1528,16872,43821
36,38056,2423,28163,68642,26263,1601,18283,46147
37,41302,2818,31230,75350,28064,1788,19825,49677
38,39545,2617,30126,72288,26678,1692,19045,47415
39,37991,2469,29518,69978,25463,1566,18345,45374
40,39771,2652,32010,74433,26412,1681,19717,47810
41,41203,2828,33380,77411,27229,1767,20495,49491
42,40365,2897,34119,77381,26783,1867,21034,49684
43,39166,2752,34649,76567,25771,1750,21124,48645
44,41860,3246,41227,86333,27390,2015,25357,54762
45,40517,3206,42169,85892,26711,2026,26161,54898
46,34605,2761,38772,76138,23169,1782,22627,47578
