win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,2,0,10,12,2,0,5,7
2,2,1,9,12,2,1,5,8
3,2,1,9,12,2,1,3,6
4,2,0,12,14,2,0,5,7
5,3,0,14,17,3,0,6,9
6,5,0,16,21,5,0,9,14
7,6,0,15,21,5,0,10,15
8,8,0,23,31,7,0,14,21
9,8,0,17,25,7,0,9,16
10,7,0,13,20,6,0,8,14
11,12,0,13,25,9,0,10,19
12,12,0,13,25,10,0,9,19
13,19,0,12,31,16,0,9,25
14,29,0,24,53,15,0,10,25
15,44,0,18,62,18,0,10,28
16,43,1,23,67,20,1,16,37
17,62,1,39,102,37,1,21,59
18,70,2,37,109,44,1,25,70
19,83,1,44,128,54,1,28,83
20,126,3,74,203,64,2,33,99
21,134,6,70,210,70,5,38,113
22,172,7,111,290,101,3,79,183
23,216,5,167,388,133,3,108,244
24,220,9,180,409,145,6,125,276
25,283,7,330,620,185,4,253,442
26,373,20,335,728,204,9,240,453
27,394,19,318,731,222,11,202,435
28,425,14,288,727,240,7,167,414
29,551,15,328,894,286,7,170,463
30,795,23,399,1217,376,10,197,583
31,1018,37,561,1616,474,16,269,759
32,1334,55,701,2090,715,21,367,1103
33,1765,60,991,2816,924,36,493,1453
34,2387,85,1334,3806,1116,40,594,1750
35,2700,113,1573,4386,1379,59,780,2218
36,3503,122,2162,5787,1811,62,1061,2934
37,4286,194,2954,7434,2348,112,1605,4065
38,4411,206,3098,7715,2355,116,1653,4124
39,4884,262,3413,8559,2612,147,1842,4601
40,5578,295,4177,10050,3089,163,2302,5554
41,6295,380,4727,11402,3455,198,2601,6254
42,6798,428,5226,12452,3734,232,2915,6881
43,7276,461,6002,13739,4035,261,3428,7724
44,8548,608,7965,17121,4777,356,4593,9726
45,8589,651,8454,17694,5070,390,5142,10602
46,7636,555,7853,16044,4599,350,4843,9792
